account_id,customer_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,gender,age,senior_citizen,married,num_dependents,zip_code,city_name,population,customer_status,churn_label,churn_category,churn_reason
BFIN-DLMOA,0013-EXCHZ,3,3,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,7.38,22.14,11,Yes,No,No,83.9,267.4,0.0,Female,75,Yes,Yes,0,93010,Camarillo,42853,Churned,Yes,Dissatisfaction,Network reliability
AFEO-XOOCP,0014-BMAQU,63,8,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,12.96,816.48,7,No,No,No,84.65,5377.8,0.0,Male,52,No,Yes,0,94558,Napa,63947,Stayed,No,,
DEMQ-MFXWC,0016-QLJIS,65,3,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,28.46,1849.9,14,Yes,Yes,Yes,90.45,5957.9,0.0,Female,43,No,Yes,1,95681,Sheridan,1219,Stayed,No,,
AIPP-VTDXJ,0019-EFAEP,72,0,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,2.25,162.0,16,Yes,No,No,101.3,7261.25,0.0,Female,32,No,No,0,91942,La Mesa,24005,Stayed,No,,
CJHA-SRKIB,0019-GFNTW,56,0,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0.0,19,No,No,No,45.05,2560.1,0.0,Female,39,No,No,0,93441,Los Olivos,1317,Stayed,No,,
CDSG-JLJOW,0020-INWCK,71,9,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Credit Card,27.26,1935.46,12,No,Yes,Yes,95.75,6849.4,0.0,Female,58,No,Yes,2,93286,Woodlake,8870,Stayed,No,,
JEHS-UYRVX,0023-UYUPN,50,0,No,None,No,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,31.43,1571.5,0,No,No,No,25.2,1306.3,0.0,Female,79,Yes,Yes,0,93601,Ahwahnee,1968,Stayed,No,,
HBIR-OSCLJ,0027-KWYKW,23,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,34.91,802.93,30,Yes,No,No,83.75,1849.95,0.0,Female,30,No,Yes,2,93201,Alpaugh,1054,Stayed,No,,
EDRJ-TSFHQ,0036-IHMOT,55,10,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,35.04,1927.2,57,Yes,Yes,Yes,103.7,5656.75,0.0,Female,37,No,Yes,3,93648,Parlier,12587,Stayed,No,,
ILYA-YMAZQ,0048-LUMLS,37,1,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,One Year,No,Credit Card,43.01,1591.37,51,Yes,Yes,Yes,91.2,3247.55,0.0,Male,23,No,Yes,3,94038,Moss Beach,3064,Stayed,No,,
HTNO-EBIGR,0048-PIHNL,49,5,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,49.58,2429.42,0,No,No,No,20.45,900.9,0.0,Female,48,No,Yes,0,90058,Los Angeles,3642,Stayed,No,,
GGNP-KVFOQ,0052-DCKON,66,9,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,43.77,2888.82,41,Yes,Yes,Yes,115.8,7942.15,0.0,Male,28,No,Yes,0,90063,Los Angeles,55668,Stayed,No,,
BTJY-YSXTR,0052-YNYOT,67,0,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,23.12,1549.04,0,No,No,No,20.55,1343.4,30.53,Female,28,No,No,0,92231,Calexico,27804,Stayed,No,,
AUVC-CVWLX,0060-FUALY,59,4,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,16.39,967.01,14,Yes,No,No,94.75,5597.65,0.0,Female,60,No,Yes,0,90003,Los Angeles,58198,Stayed,No,,
HPEM-SAPQB,0068-FIGTF,27,0,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,One Year,No,Credit Card,48.91,1320.57,59,Yes,Yes,Yes,78.2,2078.95,0.0,Female,20,No,No,0,94539,Fremont,46917,Stayed,No,,
IEDV-LPUMA,0078-XZMHT,72,5,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,32.36,2329.92,52,Yes,Yes,Yes,85.15,6316.2,0.0,Male,19,No,Yes,0,93291,Visalia,36718,Stayed,No,,
IQDD-YQUBG,0080-EMYVY,14,0,Yes,Cable,Yes,Yes,No,No,No,Yes,No,One Year,No,Credit Card,24.04,336.56,12,No,No,No,51.45,727.85,0.0,Female,64,No,No,0,95240,Lodi,45755,Stayed,No,,
COZY-HIJAK,0082-LDZUE,1,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,42.95,42.95,9,No,No,No,44.3,44.3,0.0,Male,54,No,No,0,94515,Calistoga,7384,Joined,No,,
GPAX-ILXLY,0082-OQIQY,29,0,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2.05,59.45,17,Yes,Yes,Yes,94.2,2607.6,0.0,Male,50,No,No,0,95230,Farmington,596,Stayed,No,,
DUQI-CCNHE,0083-PIVIK,64,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,5.49,351.36,69,Yes,No,No,81.25,5567.55,0.0,Male,25,No,No,0,96134,Tulelake,2595,Stayed,No,,
HQFH-XUZYZ,0093-EXYQL,40,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,44.14,1765.6,23,Yes,Yes,No,91.55,3673.6,0.0,Female,72,Yes,No,0,93023,Ojai,21633,Stayed,No,,
